GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,25-Mar,Sebastian Vettel,Ferrari,58,29:33.3
Bahrain,8-Apr,Sebastian Vettel,Ferrari,57,32:01.9
China,15-Apr,Daniel Ricciardo,Red Bull Racing TAG Heuer,56,35:36.4
Azerbaijan,29-Apr,Lewis Hamilton,Mercedes,51,43:44.3
Spain,13-May,Lewis Hamilton,Mercedes,66,35:30.0
Monaco,27-May,Daniel Ricciardo,Red Bull Racing TAG Heuer,78,42:54.8
Canada,10-Jun,Sebastian Vettel,Ferrari,68,28:31.4
France,24-Jun,Lewis Hamilton,Mercedes,53,30:11.4
Austria,1-Jul,Max Verstappen,Red Bull Racing TAG Heuer,71,21:56.0
Great Britain,8-Jul,Sebastian Vettel,Ferrari,52,27:29.8
Germany,22-Jul,Lewis Hamilton,Mercedes,67,32:29.8
Hungary,29-Jul,Lewis Hamilton,Mercedes,70,37:16.4
Belgium,26-Aug,Sebastian Vettel,Ferrari,44,23:34.5
Italy,2-Sep,Lewis Hamilton,Mercedes,53,16:54.5
Singapore,16-Sep,Lewis Hamilton,Mercedes,61,51:11.6
Russia,30-Sep,Lewis Hamilton,Mercedes,53,27:25.2
Japan,7-Oct,Lewis Hamilton,Mercedes,53,27:17.1
United States,21-Oct,Kimi Räikkönen,Ferrari,56,34:18.6
Mexico,28-Oct,Max Verstappen,Red Bull Racing TAG Heuer,71,38:28.9
Brazil,11-Nov,Lewis Hamilton,Mercedes,71,27:09.1
Abu Dhabi,25-Nov,Lewis Hamilton,Mercedes,55,39:40.4
,,,,,
,,,,,
,,,,,
