resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22130,900,3,131,6,3,1,1,1,25.0,57,32:58.7,5578710,19,1,92.478,206.436,1,Nico,Rosberg,Nico Rosberg,3.0,Australian Grand Prix,2014
22131,900,825,1,20,4,2,2,2,18.0,57,26.777,5605487,49,6,93.066,205.131,1,Kevin,Magnussen,Kevin Magnussen,4.0,Australian Grand Prix,2014
22132,900,18,1,22,10,3,3,3,15.0,57,30.027,5608737,39,5,92.917,205.46,1,Jenson,Button,Jenson Button,11.0,Australian Grand Prix,2014
22133,900,4,6,14,5,4,4,4,12.0,57,35.284,5613994,57,7,93.186,204.867,1,Fernando,Alonso,Fernando Alonso,5.0,Australian Grand Prix,2014
22134,900,822,3,77,15,5,5,5,10.0,57,47.639,5626349,56,3,92.616,206.128,1,Valtteri,Bottas,Valtteri Bottas,10.0,Australian Grand Prix,2014
22135,900,807,10,27,7,6,6,6,8.0,57,50.718,5629428,56,2,92.568,206.235,1,Nico,Hülkenberg,Nico Hülkenberg,7.0,Australian Grand Prix,2014
22136,900,8,6,7,11,7,7,7,6.0,57,57.675,5636385,56,8,93.21,204.814,1,Kimi,Räikkönen,Kimi Räikkönen,12.0,Australian Grand Prix,2014
22137,900,818,5,25,6,8,8,8,4.0,57,+1:00.441,5639151,56,10,93.691,203.763,1,Jean-Éric,Vergne,Jean-Éric Vergne,6.0,Australian Grand Prix,2014
22138,900,826,5,26,8,9,9,9,2.0,57,+1:03.585,5642295,35,11,93.864,203.387,1,Daniil,Kvyat,Daniil Kvyat,8.0,Australian Grand Prix,2014
22139,900,815,10,11,16,10,10,10,1.0,57,+1:25.916,5664626,38,4,92.634,206.088,1,Sergio,Pérez,Sergio Pérez,16.0,Australian Grand Prix,2014
22140,900,16,15,99,13,11,11,11,0.0,56,\N,\N,34,9,93.366,204.472,11,Adrian,Sutil,Adrian Sutil,14.0,Australian Grand Prix,2014
22141,900,821,15,21,20,12,12,12,0.0,56,\N,\N,41,13,94.564,201.882,11,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,Australian Grand Prix,2014
22142,900,820,206,4,17,13,13,13,0.0,55,\N,\N,33,12,94.202,202.658,12,Max,Chilton,Max Chilton,17.0,Australian Grand Prix,2014
22143,900,824,206,17,18,\N,N,14,0.0,49,\N,\N,55,16,95.635,199.621,18,Jules,Bianchi,Jules Bianchi,18.0,Australian Grand Prix,2014
22144,900,154,208,8,22,\N,R,15,0.0,43,\N,\N,41,15,95.281,200.363,132,Romain,Grosjean,Romain Grosjean,21.0,Australian Grand Prix,2014
