resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year,totalPitTime_ms,totalPitTime_s,positionsChange,pitEffect
22130,900,3,131,6,3,1.0,1,1,25.0,57,32:58.7,5578710,19,1,92.478,206.436,1,Nico,Rosberg,Nico Rosberg,3.0,Australian Grand Prix,2014,48004.0,48.004,2.0,0.04166319473377219
22131,900,825,1,20,4,2.0,2,2,18.0,57,26.777,5605487,49,6,93.066,205.131,1,Kevin,Magnussen,Kevin Magnussen,4.0,Australian Grand Prix,2014,45423.0,45.423,2.0,0.04403055720670145
22132,900,18,1,22,10,3.0,3,3,15.0,57,30.027,5608737,39,5,92.917,205.46,1,Jenson,Button,Jenson Button,11.0,Australian Grand Prix,2014,44810.0,44.81,8.0,0.17853157777281856
22133,900,4,6,14,5,4.0,4,4,12.0,57,35.284,5613994,57,7,93.186,204.867,1,Fernando,Alonso,Fernando Alonso,5.0,Australian Grand Prix,2014,44865.0,44.865,1.0,0.022289089490694303
22134,900,822,3,77,15,5.0,5,5,10.0,57,47.639,5626349,56,3,92.616,206.128,1,Valtteri,Bottas,Valtteri Bottas,10.0,Australian Grand Prix,2014,58038.0,58.038,5.0,0.08615045315138359
22135,900,807,10,27,7,6.0,6,6,8.0,57,50.718,5629428,56,2,92.568,206.235,1,Nico,Hülkenberg,Nico Hülkenberg,7.0,Australian Grand Prix,2014,45548.0,45.548,1.0,0.02195486080618249
22136,900,8,6,7,11,7.0,7,7,6.0,57,57.675,5636385,56,8,93.21,204.814,1,Kimi,Räikkönen,Kimi Räikkönen,12.0,Australian Grand Prix,2014,47368.0,47.368,5.0,0.10555649383550075
22137,900,818,5,25,6,8.0,8,8,4.0,57,+1:00.441,5639151,56,10,93.691,203.763,1,Jean-Éric,Vergne,Jean-Éric Vergne,6.0,Australian Grand Prix,2014,46102.0,46.102,-2.0,-0.04338206585397597
22138,900,826,5,26,8,9.0,9,9,2.0,57,+1:03.585,5642295,35,11,93.864,203.387,1,Daniil,Kvyat,Daniil Kvyat,8.0,Australian Grand Prix,2014,54434.0,54.434,-1.0,-0.018370871146709777
22139,900,815,10,11,16,10.0,10,10,1.0,57,+1:25.916,5664626,38,4,92.634,206.088,1,Sergio,Pérez,Sergio Pérez,16.0,Australian Grand Prix,2014,70564.0,70.564,6.0,0.0850291933563857
