GRAND PRIX,DATE,WINNER,TEAM,LAPS,TIME
Australia,26-Mar,Sebastian Vettel,Ferrari,57,24:11.7
China,9-Apr,Lewis Hamilton,Mercedes,56,37:36.2
Bahrain,16-Apr,Sebastian Vettel,Ferrari,57,33:53.4
Russia,30-Apr,Valtteri Bottas,Mercedes,52,28:08.7
Spain,14-May,Lewis Hamilton,Mercedes,66,35:56.5
Monaco,28-May,Sebastian Vettel,Ferrari,78,44:44.3
Canada,11-Jun,Lewis Hamilton,Mercedes,70,33:05.2
Azerbaijan,25-Jun,Daniel Ricciardo,Red Bull Racing TAG Heuer,51,03:55.6
Austria,9-Jul,Valtteri Bottas,Mercedes,71,21:48.5
Great Britain,16-Jul,Lewis Hamilton,Mercedes,51,21:27.4
Hungary,30-Jul,Sebastian Vettel,Ferrari,70,39:46.7
Belgium,27-Aug,Lewis Hamilton,Mercedes,44,24:42.8
Italy,3-Sep,Lewis Hamilton,Mercedes,53,15:32.3
Singapore,17-Sep,Lewis Hamilton,Mercedes,58,03:23.5
Malaysia,1-Oct,Max Verstappen,Red Bull Racing TAG Heuer,56,30:01.3
Japan,8-Oct,Lewis Hamilton,Mercedes,53,27:31.2
United States,22-Oct,Lewis Hamilton,Mercedes,56,33:51.0
Mexico,29-Oct,Max Verstappen,Red Bull Racing TAG Heuer,71,36:26.6
Brazil,12-Nov,Sebastian Vettel,Ferrari,71,31:26.3
Abu Dhabi,26-Nov,Valtteri Bottas,Mercedes,55,34:14.1
,,,,,
,,,,,
